filename,true_ppm_hour,risk_band,split
train/sample_0000.jpg,0.0,safe,train
train/sample_0001.jpg,0.0,safe,train
train/sample_0002.jpg,0.0,safe,train
train/sample_0003.jpg,0.303,safe,train
train/sample_0004.jpg,0.303,safe,train
train/sample_0005.jpg,0.303,safe,train
train/sample_0006.jpg,0.606,safe,train
train/sample_0007.jpg,0.606,safe,train
train/sample_0008.jpg,0.606,safe,train
train/sample_0009.jpg,0.909,safe,train
train/sample_0010.jpg,0.909,safe,train
train/sample_0011.jpg,0.909,safe,train
train/sample_0012.jpg,1.212,safe,train
train/sample_0013.jpg,1.212,safe,train
train/sample_0014.jpg,1.212,safe,train
train/sample_0015.jpg,1.515,safe,train
train/sample_0016.jpg,1.515,safe,train
train/sample_0017.jpg,1.515,safe,train
train/sample_0018.jpg,1.818,safe,train
train/sample_0019.jpg,1.818,safe,train
train/sample_0020.jpg,1.818,safe,train
train/sample_0021.jpg,2.121,safe,train
train/sample_0022.jpg,2.121,safe,train
train/sample_0023.jpg,2.121,safe,train
train/sample_0024.jpg,2.424,safe,train
train/sample_0025.jpg,2.424,safe,train
train/sample_0026.jpg,2.424,safe,train
train/sample_0027.jpg,2.727,safe,train
train/sample_0028.jpg,2.727,safe,train
train/sample_0029.jpg,2.727,safe,train
train/sample_0030.jpg,3.03,safe,train
train/sample_0031.jpg,3.03,safe,train
train/sample_0032.jpg,3.03,safe,train
train/sample_0033.jpg,3.333,safe,train
train/sample_0034.jpg,3.333,safe,train
train/sample_0035.jpg,3.333,safe,train
train/sample_0036.jpg,3.636,safe,train
train/sample_0037.jpg,3.636,safe,train
train/sample_0038.jpg,3.636,safe,train
train/sample_0039.jpg,3.939,safe,train
train/sample_0040.jpg,3.939,safe,train
train/sample_0041.jpg,3.939,safe,train
train/sample_0042.jpg,4.242,safe,train
train/sample_0043.jpg,4.242,safe,train
train/sample_0044.jpg,4.242,safe,train
train/sample_0045.jpg,4.545,safe,train
train/sample_0046.jpg,4.545,safe,train
train/sample_0047.jpg,4.545,safe,train
train/sample_0048.jpg,4.848,safe,train
train/sample_0049.jpg,4.848,safe,train
train/sample_0050.jpg,4.848,safe,train
train/sample_0051.jpg,5.152,safe,train
train/sample_0052.jpg,5.152,safe,train
train/sample_0053.jpg,5.152,safe,train
train/sample_0054.jpg,5.455,safe,train
train/sample_0055.jpg,5.455,safe,train
train/sample_0056.jpg,5.455,safe,train
train/sample_0057.jpg,5.758,safe,train
train/sample_0058.jpg,5.758,safe,train
train/sample_0059.jpg,5.758,safe,train
train/sample_0060.jpg,6.061,safe,train
train/sample_0061.jpg,6.061,safe,train
train/sample_0062.jpg,6.061,safe,train
train/sample_0063.jpg,6.364,safe,train
train/sample_0064.jpg,6.364,safe,train
train/sample_0065.jpg,6.364,safe,train
train/sample_0066.jpg,6.667,safe,train
train/sample_0067.jpg,6.667,safe,train
train/sample_0068.jpg,6.667,safe,train
train/sample_0069.jpg,6.97,safe,train
train/sample_0070.jpg,6.97,safe,train
train/sample_0071.jpg,6.97,safe,train
train/sample_0072.jpg,7.273,safe,train
train/sample_0073.jpg,7.273,safe,train
train/sample_0074.jpg,7.273,safe,train
train/sample_0075.jpg,7.576,caution,train
train/sample_0076.jpg,7.576,caution,train
train/sample_0077.jpg,7.576,caution,train
train/sample_0078.jpg,7.879,caution,train
train/sample_0079.jpg,7.879,caution,train
train/sample_0080.jpg,7.879,caution,train
train/sample_0081.jpg,8.182,caution,train
train/sample_0082.jpg,8.182,caution,train
train/sample_0083.jpg,8.182,caution,train
train/sample_0084.jpg,8.485,caution,train
train/sample_0085.jpg,8.485,caution,train
train/sample_0086.jpg,8.485,caution,train
